,HIVincidence
530,0.0
531,0.0
532,0.0
533,7.2
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,6.1
543,7.3
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,9.7
556,7.9
557,0.0
558,13.8
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,6.6
568,0.0
569,8.0
570,3.4
571,0.0
572,5.400000000000001
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,19.1
587,0.0
588,0.0
589,0.0
590,13.2
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,6.2
599,17.3
600,0.0
601,0.0
602,0.0
603,0.0
604,8.8
605,10.4
606,0.0
607,0.0
608,0.0
609,0.0
610,13.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,16.0
618,0.0
619,0.0
620,12.800000000000002
621,0.0
622,8.6
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,8.2
636,0.0
637,0.0
638,0.0
639,24.9
640,0.0
641,0.0
642,0.0
643,8.2
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,40.6
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,4.2
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,10.8
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,26.7
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,31.0
676,0.0
677,0.0
678,0.0
679,63.0
680,0.0
681,9.3
682,0.0
683,0.0
684,0.0
685,0.0
686,14.4
687,0.0
688,0.0
689,9.1
690,0.0
691,0.0
692,12.5
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,17.9
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,22.7
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,22.1
714,8.8
715,4.0
716,0.0
717,0.0
718,0.0
719,0.0
720,24.9
721,20.4
722,0.0
723,0.0
724,8.0
725,0.0
726,5.1
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,56.0
735,0.0
736,0.0
737,39.4
738,0.0
739,16.7
740,20.5
741,6.5
742,0.0
743,68.0
744,0.0
745,14.1
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,7.1
770,0.0
771,0.0
772,0.0
773,8.3
774,0.0
775,118.9
776,0.0
777,23.300000000000008
778,0.0
779,0.0
780,0.0
781,0.0
782,7.9
783,0.0
784,11.0
785,0.0
786,1.5
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,7.1
